Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0,1000,,,,-0.0625,-0.0234375,-1.00390625,-0.00008211071245372296,0.0008535551830041704,23.98228645324707,-0.006594798442552099,0,0,0.15815834535071208,0,0,0,0,0.0625,,
0,1000,,,,-0.0625,-0.013671875,-1.015625,0.000024804277720395477,0.0006944937184548369,23.98400115966797,0.004006113082293188,0,0,0.09608262081148085,0,0,0,0,0.0625,,
0.024979999999981375,1000,,,,-0.0625,-0.02734375,-1.00390625,0.000041739612163975836,0.000144499499484958,23.984500885009766,0.0015651138264515902,0,0,0.037538473955669185,0,0,0,0,0.0625,,
0.04782000000029802,1000,,,,-0.046875,-0.025390625,-1.005859375,-0.00007851836878387256,0.00043909925424886456,23.984500885009766,0.005958912654576589,0,0,0.1429215458373881,0,0,0,0,0.0625,,
0.07048999999975786,1000,,,,-0.0625,-0.01171875,-1.015625,-0.00008997965573053808,0.0008277917063518137,23.983001708984375,0.005958912654576589,0,0,0.14291261237839897,0,0,0,0,0.0625,,
0.09247499999962747,1000,,,,-0.0625,-0.02734375,-1.00390625,-0.00014300949085690082,0.0008669969969097479,23.983999252319336,0.0051219984324479,0,0,0.12284600657421126,0,0,0,0,0.0625,,
0.11449500000011176,1000,,,,-0.0625,-0.0234375,-1.005859375,-0.00007441283316118642,0.0008580357876393632,23.98171615600586,0.0051219984324479,0,0,0.1228343125584725,0,0,0,0,0.0625,,
0.13645999999996275,1000,,,,-0.0625,-0.025390625,-1.005859375,0.000002052767811343074,0.0011604766005148565,23.983428955078125,-0.004920969998294721,0,0,0.11802173434417236,0,0,0,0,0.0625,,
0.15751499999966473,1000,,,,-0.0625,-0.02734375,-1.00390625,-0.0000046187275755219156,0.0007975476250642645,23.98400115966797,0.0030297134358265904,0,0,0.07266465055832656,0,0,0,0,0.0625,,
0.18072999999998138,1000,,,,-0.0625,-0.009765625,-1.017578125,-0.00002890981334308162,0.0005824786025750245,23.983428955078125,0.010143482647819212,0,0,0.24327549544103982,0,0,0,0,0.0625,,
0.20339500000001862,1000,,,,-0.0625,-0.013671875,-1.015625,0.00002001448616059497,0.0005365524050643014,23.98171615600586,0.00010051421707659028,0,0,0,0,0,0,0,0.0625,,
0.2265500000002794,1000,,,,-0.0625,-0.025390625,-1.00390625,-0.000025146405688952656,0.000342766254592226,23.98200225830078,0.00888811187332659,0,0,0.21315471901814828,0,0,0,0,0.0625,,
0.24862999999988825,1000,,,,-0.0625,-0.01171875,-1.01953125,-0.00005217451520496979,0.0006877728115020482,23.982858657836914,-0.006594798442552099,0,0,0.15816211892465,0,0,0,0,0.0625,,
0.2694900000002235,1000,,,,-0.0625,-0.025390625,-1.00390625,-0.00008690050401352346,0.0008165901947638323,23.982860565185547,-0.004920969998294721,0,0,0.11801893731456366,0,0,0,0,0.0625,,
0.29054500000039113,1000,,,,-0.0625,-0.0078125,-1.01953125,-0.000039344716384075584,0.0007449005206007524,23.980573654174805,0.006795826876705279,0,0,0.16296782695785167,0,0,0,0,0.0625,,
0.31238500000024216,1000,,,,-0.0625,-0.02734375,-1.00390625,-0.0001527601379607804,0.0006720906952788744,23.98133659362793,0.009864511240442983,0,0,0.23656416438868935,0,0,0,0,0.0625,,
0.3355999999996275,1000,,,,-0.0625,-0.025390625,-1.00390625,-0.00013736437937570737,0.0005264710446351183,23.983001708984375,0.014746510310826591,0,0,0.35366558198610987,0,0,0,0,0.0625,,
0.3580949999997392,1000,,,,-0.0625,-0.025390625,-1.00390625,-0.000028396621390245852,0.00009185239502144618,23.981002807617188,0.005958912654576589,0,0,0.14290070109974679,0,0,0,0,0.0625,,
0.3797400000002235,1000,,,,-0.0625,-0.025390625,-1.00390625,-0.000019159166239202024,0.00009409269733904242,23.98171615600586,0.015164966863190523,0,0,0.36368193082826966,0,0,0,0,0.0625,,
0.4016099999998696,1000,,,,-0.0625,-0.025390625,-1.005859375,0.000024804277720395477,0.00022627053407722107,23.979333877563477,0.007911711947509786,0,0,0.18971758233244512,0,0,0,0,0.060546875,,
0.4239049999997951,1000,,,,-0.0625,-0.025390625,-1.00390625,0.000012658734836615622,0.00020274735974246046,23.98228645324707,0.0051219984324479,0,0,0.12283723362004802,0,0,0,0,0.060546875,,
0.4457000000001863,1000,,,,-0.0625,-0.013671875,-1.015625,-0.00009767753502307461,0.0005018277191415596,23.981000900268555,-0.004293284611048409,0,0,0.10295726212266104,0,0,0,0,0.060546875,,
