Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0,1000,,,,-0.0625,0.005859375,-1.033203125,0.2732531608230276,-0.1315942379844448,13.988571166992188,0.03190324795356183,0,0,0.44628085445659754,0,0,0,0,0.076171875,,
0,1000,,,,-0.0625,-0.02734375,-1.00390625,0.2732085131231309,-0.13131644049706287,13.989144325256348,0.040272387940047075,0,0,0.5633762472160317,0,0,0,0,0.07421875,,
0.027875,1000,,,,-0.0625,0.00390625,-1.033203125,0.2731132304838877,-0.13265726143414425,13.989999771118164,0.03290754546707659,0,0,0.46037655355246204,0,0,0,0,0.07421875,,
0.051460000000020954,1000,,,,-0.0625,0,-1.02734375,0.2730644772483683,-0.1317297762746594,13.98949909210205,0.03378630523270159,0,0,0.47265348637836163,0,0,0,0,0.07421875,,
0.0739450000000652,1000,,,,-0.0625,-0.001953125,-1.02734375,0.273056266177123,-0.13186755486719157,13.989714622497559,0.040272387940047075,0,0,0.5633992144477709,0,0,0,0,0.07421875,,
0.09590000000002329,1000,,,,-0.0625,-0.01171875,-1.017578125,0.2731732739423695,-0.13228313094710567,13.990286827087402,0.03525090484207659,0,0,0.49317026965501565,0,0,0,0,0.07421875,,
0.11997999999998138,1000,,,,-0.0625,-0.009765625,-1.015625,0.2731202441072431,-0.13161776115877957,13.988571166992188,0.036924733286333965,0,0,0.516524259398088,0,0,0,0,0.07421875,,
0.14402500000002327,1000,,,,-0.0625,-0.013671875,-1.015625,0.27307131980773947,-0.131249231427535,13.989999771118164,0.03525090484207659,0,0,0.49316015067235963,0,0,0,0,0.07421875,,
0.16705499999999301,1000,,,,-0.0625,0,-1.02734375,0.273032317219324,-0.13192020197165508,13.992002487182617,0.03232170562332659,0,0,0.45224538547157006,0,0,0,0,0.07421875,,
0.1890450000000419,1000,,,,-0.0625,-0.025390625,-1.00390625,0.273065503632274,-0.13173313672813577,13.989500045776367,0.03232170562332659,0,0,0.4521645022970976,0,0,0,0,0.07421875,,
0.21100500000000466,1000,,,,-0.0625,0,-1.02734375,0.2731210994271645,-0.13144973848495986,13.990666389465332,0.03915650231054216,0,0,0.5478255608051238,0,0,0,0,0.07421875,,
0.2331149999999907,1000,,,,-0.0625,0.001953125,-1.033203125,0.2731741292622909,-0.13037663367483127,13.989715576171875,0.043620044828561834,0,0,0.610232020571447,0,0,0,0,0.07421875,,
0.25494500000000697,1000,,,,-0.0625,0,-1.02734375,0.2730304355154969,-0.13105880573053932,13.989500045776367,0.04257390288895159,0,0,0.5955876164138669,0,0,0,0,0.07421875,,
0.276,1000,,,,-0.0625,-0.025390625,-1.00390625,0.2729606414099112,-0.13107560799792128,13.990857124328613,0.03190324795356183,0,0,0.4463537839203128,0,0,0,0,0.07421875,,
0.29796000000002093,1000,,,,-0.0625,-0.015625,-1.015625,0.27293960053984495,-0.13107336769560368,13.989334106445312,0.033298106107843804,0,0,0.4658183314544943,0,0,0,0,0.07421875,,
