Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0,1000,,,,-0.0625,-0.025390625,-1.00390625,0.00021708019604953005,0,16.00343132019043,0.020186451078561832,0,0,0.3230524834341483,0,0,0,0,0.06640625,,
0,1000,,,,-0.0625,-0.025390625,-1.005859375,0.00021519849222246555,-0.000032484383605145596,16.004573822021484,0.025207936411333967,0,0,0.40344227919601783,0,0,0,0,0.06640625,,
0.02180999999959022,1000,,,,-0.0625,-0.009765625,-1.01953125,0.00013958821117132902,0.000013441813905577489,16.00057029724121,0.023534107967076588,0,0,0.37655914891007336,0,0,0,0,0.064453125,,
0.044009999999776485,1000,,,,-0.0625,-0.01171875,-1.01953125,0.0001712350482628681,-0.000002240302317596248,16.001001358032227,0.023534107967076588,0,0,0.3765692935412695,0,0,0,0,0.06640625,,
0.06707499999925494,1000,,,,-0.0625,-0.015625,-1.015625,0.00019740783785749226,-0.00009633299965663866,16.001998901367188,0.027439707670343805,0,0,0.43909017199467837,0,0,0,0,0.064453125,,
0.0893449999988079,1000,,,,-0.0625,-0.009765625,-1.017578125,0.00023264701861888166,0.00021506902248923982,16.000999450683594,0.03525090484207659,0,0,0.5640497090141672,0,0,0,0,0.06640625,,
0.11185499999951572,1000,,,,-0.0625,-0.025390625,-1.00390625,0.00011478393345093354,0.00033828564995703347,16.001142501831055,0.028555593299848723,0,0,0.4569221176152115,0,0,0,0,0.064453125,,
0.13380499999877066,1000,,,,-0.0625,-0.015625,-1.015625,0.00010623073423700407,0.00038757230094415093,16.003002166748047,0.02499870757645159,0,0,0.40005437151185563,0,0,0,0,0.064453125,,
0.15561999999918044,1000,,,,-0.0625,-0.025390625,-1.00390625,0.00018166995130386204,0.00027555718506433853,16.001142501831055,0.026881764855591347,0,0,0.43013895015503106,0,0,0,0,0.064453125,,
0.1781499999994412,1000,,,,-0.0625,-0.0234375,-1.00390625,0.00020253975738584995,0.00012993753442058239,16.003999710083008,0.027439707670343805,0,0,0.43914507360094474,0,0,0,0,0.064453125,,
0.20009999999962746,1000,,,,-0.0625,-0.0234375,-1.005859375,0.0002538589526694268,-0.000001120151158798124,16,0.019140309138951588,0,0,0.3062449462232254,0,0,0,0,0.064453125,,
0.22376499999966473,1000,,,,-0.0625,0,-1.02734375,0.00021143508456833662,0.00005264710446351182,16.002857208251953,0.036924733286333965,0,0,0.5909012342339903,0,0,0,0,0.064453125,,
0.24593999999947846,1000,,,,-0.0625,-0.001953125,-1.02734375,0.0001347984196115285,-0.00015906146454933363,16.001501083374023,0.02939250640457659,0,0,0.4703242230759102,0,0,0,0,0.064453125,,
0.26792999999970196,1000,,,,-0.0625,-0.025390625,-1.00390625,0.00008826901588775218,-0.0003405259522746297,16.001144409179688,0.028555593299848723,0,0,0.4569221720806833,0,0,0,0,0.064453125,,
0.290394999999553,1000,,,,-0.0625,-0.0234375,-1.005859375,0.0000894664637777023,-0.00029123930128751224,16.003429412841797,0.0168387953074479,0,0,0.26947847210003417,0,0,0,0,0.064453125,,
0.3140349999992177,1000,,,,-0.0625,-0.025390625,-1.00390625,0.00011837627712078393,-0.000053767255622309956,16.001998901367188,0.019140309138951588,0,0,0.3062832058133316,0,0,0,0,0.064453125,,
0.33668999999947846,1000,,,,-0.0625,-0.01171875,-1.015625,0.0001416409789826721,0.0005488740678110807,16.003999710083008,0.028555593299848723,0,0,0.45700370689202724,0,0,0,0,0.064453125,,
0.35912999999988826,1000,,,,-0.0625,-0.009765625,-1.01953125,0.00014403587476257234,0.0003450065569098222,16.003000259399414,0.03232170562332659,0,0,0.517244263474327,0,0,0,0,0.064453125,,
0.3820949999997392,1000,,,,-0.0625,-0.013671875,-1.017578125,0.00008330816034367308,0.00023971234798279855,16.002286911010742,0.02186027952281921,0,0,0.349814464879046,0,0,0,0,0.064453125,,
0.4037649999996647,1000,,,,-0.0625,-0.01171875,-1.017578125,0.00013650905945431443,0.0006306451024033438,16.002286911010742,0.020186451078561832,0,0,0.3230293818742287,0,0,0,0,0.064453125,,
0.425875,1000,,,,-0.0625,-0.01171875,-1.017578125,0.00015395758585073053,0.0005219904399999258,16,0.02186027952281921,0,0,0.3497644723651074,0,0,0,0,0.064453125,,
0.44827999999932944,1000,,,,-0.0625,-0.025390625,-1.00390625,0.00017174824021570385,0.0001310576855793805,16.002857208251953,0.025207936411333967,0,0,0.40339900690527264,0,0,0,0,0.064453125,,
0.469894999999553,1000,,,,-0.0625,-0.0234375,-1.00390625,0.00023281808260316027,-0.000019042569699568107,16.00149917602539,0.014746510310826591,0,0,0.23596627258794162,0,0,0,0,0.064453125,,
0.493019999999553,1000,,,,-0.0625,0.00390625,-1.033203125,0.0001317192678945139,0.0000067209069527887445,16.001142501831055,0.025207936411333967,0,0,0.4033557826948505,0,0,0,0,0.064453125,,
0.5160399999991059,1000,,,,-0.0625,-0.015625,-1.015625,0.000013685118742287159,-0.0001344181390557749,16.0017147064209,0.025207936411333967,0,0,0.4033702067917656,0,0,0,0,0.064453125,,
0.5408349999999628,1000,,,,-0.0625,-0.025390625,-1.00390625,0.00019073634247062727,-0.00012993753442058239,16.0017147064209,0.0168387953074479,0,0,0.26944959850960026,0,0,0,0,0.064453125,,
0.563234999999404,1000,,,,-0.0625,-0.01171875,-1.015625,0.00017978824747679755,0.0006452070674677194,16.003110885620117,0.03915650231054216,0,0,0.6266258483686464,0,0,0,0,0.064453125,,
0.5859349999995902,1000,,,,-0.0625,-0.001953125,-1.02734375,0.000044476635912433265,0.0005656763351930527,16.002286911010742,0.028555593299848723,0,0,0.45695479689831525,0,0,0,0,0.064453125,,
0.6086549999993295,1000,,,,-0.0625,-0.01171875,-1.017578125,0.00009562476721173151,-0.0003606886731329959,16.00349998474121,0.02206950835770159,0,0,0.3531893766657234,0,0,0,0,0.064453125,,
0.6311649999991059,1000,,,,-0.0625,-0.025390625,-1.00390625,0.000024975341704674065,-0.00017474358077250736,16,0.0168387953074479,0,0,0.2694207249191664,0,0,0,0,0.064453125,,
0.6526349999988451,1000,,,,-0.0625,-0.01171875,-1.017578125,0.0000814264565166086,0.0001904256969956811,16.001142501831055,0.023534107967076588,0,0,0.37657261523467,0,0,0,0,0.064453125,,
0.6741549999993295,1000,,,,-0.0625,-0.001953125,-1.02734375,0.00013890395523421465,0.0004951068121887708,16,0.040272387940047075,0,0,0.6443582070407532,0,0,0,0,0.064453125,,
0.6990049999989569,1000,,,,-0.0625,-0.025390625,-1.00390625,0.0001347984196115285,0.00010193375545062929,16.002500534057617,0.01621110992020159,0,0,0.2594182951556927,0,0,0,0,0.064453125,,
0.7209599999990314,1000,,,,-0.0625,-0.01171875,-1.017578125,0.0001628529130332172,-0.000014561965064375615,16.0017147064209,0.020186451078561832,0,0,0.32301783109426885,0,0,0,0,0.064453125,,
0.7429199999989942,1000,,,,-0.0625,-0.009765625,-1.01953125,0.00010605967025272548,0.00005600755793990621,16.003501892089844,0.023534107967076588,0,0,0.3766281413797568,0,0,0,0,0.064453125,,
0.7651599999992177,1000,,,,-0.0625,-0.001953125,-1.02734375,0.00023589723432017488,0.00021282872017164357,16.002857208251953,0.020186451078561832,0,0,0.3230408941515886,0,0,0,0,0.064453125,,
0.7868449999997392,1000,,,,-0.0625,-0.025390625,-1.00390625,0.00021057976464694365,0.000038085139399136215,16.002286911010742,0.025207936411333967,0,0,0.40338463088868065,0,0,0,0,0.064453125,,
