Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0,1000,,,,-0.0625,-0.005859375,-1.015625,-0.013987730930475985,-0.03041098381021027,21.986003875732422,0.08544921875,0,0,1.8786868546158075,0,0,0,0,0.095703125,,
0,1000,,,,-0.0625,0.025390625,-1.044921875,-0.014118081686496269,-0.029988686823343373,21.985713958740234,0.0837053544819355,0,0,1.8403219804547888,0,0,0,0,0.095703125,,
0.02631000000005588,1000,,,,-0.0625,0,-1.03125,-0.014138660683804982,-0.032029602234673556,21.985092163085938,0.06214488763362169,0,0,1.3662610820897925,0,0,0,0,0.09375,,
0.04935999999986961,1000,,,,-0.0625,0,-1.01953125,-0.01398088837110484,-0.03220546596660486,21.985336303710938,0.08138020522892475,0,0,1.789171180422926,0,0,0,0,0.09375,,
0.07060999999986961,1000,,,,-0.0625,-0.01953125,-1.009765625,-0.013925634704182855,-0.02936476262789282,21.986000061035156,0.06103515625,0,0,1.3419189490377903,0,0,0,0,0.09375,,
0.09763499999977648,1000,,,,-0.0625,0.009765625,-1.0390625,-0.014055472268250305,-0.029844187323858417,21.982666015625,0.08138020522892475,0,0,1.788953871830472,0,0,0,0,0.09375,,
0.11998999999975786,1000,,,,-0.0625,0.009765625,-1.0390625,-0.013620285492245573,-0.030927373494416203,21.98520278930664,0.0927734375,0,0,2.0396428368985653,0,0,0,0,0.09375,,
0.1478900000001304,1000,,,,-0.0625,0.015625,-1.041015625,-0.013623877835915423,-0.03156473950377234,21.98400115966797,0.0732421875,0,0,1.6101563349366188,0,0,0,0,0.091796875,,
0.17260499999998138,1000,,,,-0.0625,0,-1.03125,-0.01387813023574869,-0.030976660145403324,21.9856014251709,0.087890625,0,0,1.932328250259161,0,0,0,0,0.091796875,,
0.20033499999996274,1000,,,,-0.0625,0.00390625,-1.033203125,-0.013903909578179476,-0.030061496648665254,21.985504150390625,0.079345703125,0,0,1.7444552853703499,0,0,0,0,0.091796875,,
0.22691000000014902,1000,,,,-0.0625,-0.0078125,-1.01953125,-0.013762097535212525,-0.0320643269205963,21.984445571899414,0.08138020522892475,0,0,1.7890986924853003,0,0,0,0,0.08984375,,
0.25067000000039114,1000,,,,-0.0625,0.00390625,-1.03515625,-0.013814956306354608,-0.03240821332634732,21.982667922973633,0.048828125,0,0,1.073372457176447,0,0,0,0,0.08984375,,
0.2789750000000931,1000,,,,-0.0625,0.00390625,-1.037109375,-0.013920673848638775,-0.030231759624802575,21.98400115966797,0.01220703125,0,0,0.26835938915610313,0,0,0,0,0.08984375,,
0.30292499999981376,1000,,,,-0.0625,0.009765625,-1.033203125,-0.014127430333237094,-0.030453549554244598,21.98622703552246,0.02170138992369175,0,0,0.47713168584868626,0,0,0,0,0.08984375,,
0.33072500000009314,1000,,,,-0.0625,0.009765625,-1.041015625,-0.013894158931075595,-0.03185485865390105,21.985000610351562,0.06103515625,0,0,1.341857947409153,0,0,0,0,0.08984375,,
0.3534250000002794,1000,,,,-0.0625,-0.005859375,-1.02734375,-0.0137478992245174,-0.03241829468677651,21.985334396362305,0.02170138992369175,0,0,0.47711231433821055,0,0,0,0,0.08984375,,
0.3777250000000931,1000,,,,-0.0625,-0.005859375,-1.0234375,-0.013873460188977886,-0.030592448297935566,21.9857177734375,0.048828125,0,0,1.073521375656128,0,0,0,0,0.08984375,,
0.40275499999988823,1000,,,,-0.0625,0,-1.02734375,-0.01403785267786961,-0.030421065170639455,21.986223220825195,0.02170138992369175,0,0,0.47713160306445346,0,0,0,0,0.087890625,,
0.42885000000009316,1000,,,,-0.0625,0,-1.02734375,-0.013748241352485958,-0.030915051831669427,21.985504150390625,0.054931640625,0,0,1.2076998129487038,0,0,0,0,0.087890625,,
0.4549750000000931,1000,,,,-0.0625,-0.021484375,-1.0078125,-0.013928200663947034,-0.03199935815338601,21.98550033569336,0.030517578125,0,0,0.6709442241117358,0,0,0,0,0.087890625,,
0.481875,1000,,,,-0.0625,-0.013671875,-1.015625,-0.01398208581899479,-0.030605890111841144,21.98400115966797,0.09765625,0,0,2.146875113248825,0,0,0,0,0.08984375,,
0.5047999999998137,1000,,,,-0.0625,0.009765625,-1.0390625,-0.013975927515560762,-0.03013579067427254,21.983558654785156,0.09765625,0,0,2.146831899881363,0,0,0,0,0.08984375,,
